Name	GenBank (assembly) accession number	Virus-Host-DB Host	TaxID	NCBI-superkingdom	NCBI-order	NCBI-family	NCBI-subfamily	NCBI-genus	NCBI-species	ICTV-Order	ICTV-Family	ICTV-Subfamily	ICTV-Genus	ICTV-Species	vConTACT_v1.0-IF_1.4_VCs	vConTACT_v1.0-IF_2.0_VCs	vConTACT_v1.0-IF_3.0_VCs	vConTACT_v1.0-IF_4.0_VCs	vConTACT_v1.0-IF_5.0_VCs	vConTACT_v1.0_IF_6.0_VCs	vConTACT_v1.0_IF_7.0_VCs	vConTACT_v2.0_VCs	Type_V2.0	VC Size	VC_Subcluster	VC Subcluster Size	Quality	Adj P-value (1-Pvalue)	Topology Confidence Score	Taxon (Genus) Prediction Score
Aeromonas_virus_44RR2	NC_005135	Bacteria	115987	Viruses	Caudovirales	Myoviridae		Biquartavirus	Aeromonas virus 44RR2	Caudovirales	Myoviridae		Biquartavirus	Aeromonas virus 44RR2	1	2	1	1	1	1	1	1	cluster	2	VC_1_15	2	0.0085	0.9535	0.0081	1.0000
Citrobacter_phage_IME-CF2	NC_029013	Bacteria	1673887	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Citrobacter phage IME-CF2						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Citrobacter_phage_Margaery	NC_028755	Bacteria	1701810	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Citrobacter phage Margaery						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Citrobacter_phage_Merlin	NC_028857	Bacteria	1675602	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus	Citrobacter virus Merlin	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus	Citrobacter virus Merlin	1	2	1	1	1	1	1	1	cluster	2	VC_1_4	2	0.0058	0.8967	0.0052	1.0000
Citrobacter_phage_Miller	NC_025414	Bacteria	1527524	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Citrobacter phage Miller						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Citrobacter_phage_Moon	NC_027331	Bacteria	1540095	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus	Citrobacter virus Moon	Caudovirales	Myoviridae	Tevenvirinae	Moonvirus	Citrobacter virus Moon	1	2	1	1	1	1	1	1	cluster	2	VC_1_4	2	0.0058	0.8967	0.0052	1.0000
Citrobacter_phage_vB_CfrM_CfP1	NC_031057	Bacteria	1871313	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Citrobacter phage vB_CfrM_CfP1						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Cronobacter_phage_S13	NC_028773	Bacteria	1327935	Viruses	Caudovirales	Myoviridae			Cronobacter phage S13						1	2	1	1	1	1	1	1	cluster	1	VC_1_2	1	0.0000	1.0000	0.0000	1.0000
Cronobacter_phage_vB_CsaM_GAP161	NC_019398	Bacteria	1141138	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Cronobacter phage vB_CsaM_GAP161						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Edwardsiella_phage_PEi20	NC_028683	Bacteria	1608310	Viruses	Caudovirales	Myoviridae			Edwardsiella phage PEi20						1	2	1	1	1	1	1	1	cluster	1	VC_1_7	1	0.0000	1.0000	0.0000	1.0000
Enterobacter_phage_CC31	NC_014662	Bacteria	709484	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Cc31virus	Escherichia virus CC31	Caudovirales	Myoviridae	Tevenvirinae	Cc31virus	Escherichia virus CC31	1	2	1	1	1	1	1	1	cluster	2	VC_1_5	2	0.0058	0.9359	0.0054	1.0000
Enterobacter_phage_PG7	NC_023561	Bacteria	1455074	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Cc31virus	Enterobacter virus PG7	Caudovirales	Myoviridae	Tevenvirinae	Cc31virus	Enterobacter virus PG7	1	2	1	1	1	1	1	1	cluster	2	VC_1_5	2	0.0058	0.9359	0.0054	1.0000
Enterobacteria_phage_Bp7	NC_019500	Bacteria	1052121	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus Bp7	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus Bp7	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Enterobacteria_phage_GEC-3S	NC_025425	Bacteria	1222338	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage GEC-3S						1	2	1	1	1	1	1	1	cluster	4	VC_1_14	4	0.0249	1.0000	0.0249	1.0000
Enterobacteria_phage_IME08	NC_014260	Bacteria	697227	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus IME08	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus IME08	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Enterobacteria_phage_JS10	NC_012741	Bacteria	576790	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus JS10	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus JS10	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Enterobacteria_phage_Phi1	NC_009821	Bacteria	448384	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus phi1	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus phi1	1	2	1	1	1	1	1	1	cluster	4	VC_1_14	4	0.0249	1.0000	0.0249	1.0000
Enterobacteria_phage_RB14	NC_012638	Bacteria	197310	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB14	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus RB14	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB16	NC_014467	Bacteria	329381	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB16						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Enterobacteria_phage_RB27	NC_025448	Bacteria	69609	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB27						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB3	NC_025419	Bacteria	31533	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus RB3	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus RB3	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB32	NC_008515	Bacteria	45406	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB32						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB43	NC_007023	Bacteria	115991	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB43						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Enterobacteria_phage_RB49	NC_005066	Bacteria	50948	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus RB49	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus RB49	1	2	1	1	1	1	1	1	cluster	4	VC_1_14	4	0.0249	1.0000	0.0249	1.0000
Enterobacteria_phage_RB51	NC_012635	Bacteria	10693	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB51						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB68	NC_027979	Bacteria	36339	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage RB51						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_RB69	NC_004928	Bacteria	12353	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus RB69	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus RB69	1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Enterobacteria_phage_T4	NC_000866	Bacteria	10665	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage T4 sensu lato	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus T4	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Enterobacteria_phage_vB_EcoM_VR5	NC_028881	Bacteria	1567026	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus VR5	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus VR5	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Escherichia_phage_APCEc01	NC_029091	Bacteria	1655305	Viruses	Caudovirales	Myoviridae			Escherichia phage APCEc01						1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Escherichia_phage_AR1	NC_027983	Bacteria	66711	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus AR1	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus AR1	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_ECML-134	NC_025449	Bacteria	1204522	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus ECML134	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus ECML134	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_HX01	NC_018855	Bacteria	1237364	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus HX01	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus HX01	1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Escherichia_phage_HY01	NC_027349	Bacteria	1434323	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus HY01	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus HY01	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_HY03	NC_031047	Bacteria	1654926	Viruses	Caudovirales	Myoviridae			Escherichia phage HY03						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_ime09	NC_019503	Bacteria	1054834	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus Ime09	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus Ime09	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_JS98	NC_010105	Bacteria	293178	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Enterobacteria phage JS	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus JS98	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Escherichia_phage_JSE	NC_012740	Bacteria	576789	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus JSE	Caudovirales	Myoviridae	Tevenvirinae	Rb49virus	Escherichia virus JSE	1	2	1	1	1	1	1	1	cluster	4	VC_1_14	4	0.0249	1.0000	0.0249	1.0000
Escherichia_phage_Lw1	NC_021344	Bacteria	1307804	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage Lw1						1	2	1	1	1	1	1	1	cluster	8	VC_1_11	8	0.0636	1.0000	0.0636	1.0000
Escherichia_phage_MX01	NC_031934	Bacteria	1837930	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage MX01						1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Escherichia_phage_QL01	NC_028847	Bacteria	1673871	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus QL01	Caudovirales	Myoviridae	Tevenvirinae	Js98virus	Escherichia virus QL01	1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Escherichia_phage_slur02	NC_028927	Bacteria	1720494	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage slur02						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_slur07	NC_028780	Bacteria	1720500	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage slur07						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_slur14	NC_028448	Bacteria	1720504	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage slur08						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_UFV-AREG1	NC_031030	Bacteria	1837867	Viruses	Caudovirales	Myoviridae			Escherichia phage UFV-AREG1						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_vB_EcoM_112	NC_024125	Bacteria	1495285	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus E112	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus E112	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_vB_EcoM_ACG-C40	NC_019399	Bacteria	1141141	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus C40	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia virus C40	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_vB_EcoM_JS09	NC_024124	Bacteria	1430444	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus JS09	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Escherichia virus JS09	1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Escherichia_phage_vB_EcoM_PhAPEC2	NC_024794	Bacteria	1391224	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage vB_EcoM_PhAPEC2						1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Escherichia_phage_vB_EcoM_VR20	NC_028894	Bacteria	1567027	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR20	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR20	1	2	1	1	1	1	1	1	cluster	5	VC_1_10	5	0.0237	1.0000	0.0237	1.0000
Escherichia_phage_vB_EcoM_VR25	NC_028925	Bacteria	1567028	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR25	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR25	1	2	1	1	1	1	1	1	cluster	5	VC_1_10	5	0.0237	1.0000	0.0237	1.0000
Escherichia_phage_vB_EcoM_VR26	NC_028957	Bacteria	1567029	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR26	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR26	1	2	1	1	1	1	1	1	cluster	5	VC_1_10	5	0.0237	1.0000	0.0237	1.0000
Escherichia_phage_vB_EcoM_VR7	NC_014792	Bacteria	700939	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR7	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Escherichia virus VR7	1	2	1	1	1	1	1	1	cluster	5	VC_1_10	5	0.0237	1.0000	0.0237	1.0000
Escherichia_phage_vB_EcoM-UFV13	NC_031103	Bacteria	1815590	Viruses	Caudovirales	Myoviridae			Escherichia phage vB_EcoM-UFV13						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Escherichia_phage_WG01	NC_031928	Bacteria	1837931	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage WG01						1	2	1	1	1	1	1	1	cluster	8	VC_1_9	8	0.0416	1.0000	0.0416	1.0000
Escherichia_phage_wV7	NC_019505	Bacteria	1054480	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage wV7						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Klebsiella_phage_JD18	NC_028686	Bacteria	1698360	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Jd18virus	Klebsiella virus JD18	Caudovirales	Myoviridae	Tevenvirinae	Jd18virus	Klebsiella virus JD18	1	2	1	1	1	1	1	1	cluster	3	VC_1_6	3	0.0115	0.9920	0.0114	0.6667
Klebsiella_phage_KP15	NC_014036	Bacteria	707757	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus KP15	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus KP15	1	2	1	1	1	1	1	1	cluster	3	VC_1_0	3	0.0170	0.9980	0.0170	1.0000
Klebsiella_phage_KP27	NC_020080	Bacteria	1129147	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus KP27	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus KP27	1	2	1	1	1	1	1	1	cluster	3	VC_1_0	3	0.0170	0.9980	0.0170	1.0000
Klebsiella_phage_Matisse	NC_028750	Bacteria	1675607	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus Matisse	Caudovirales	Myoviridae	Tevenvirinae	Kp15virus	Klebsiella virus Matisse	1	2	1	1	1	1	1	1	cluster	3	VC_1_0	3	0.0170	0.9980	0.0170	1.0000
Klebsiella_phage_PKO111	NC_031095	Bacteria	1654928	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Jd18virus	Klebsiella virus PKO111	Caudovirales	Myoviridae	Tevenvirinae	Jd18virus	Klebsiella virus PKO111	1	2	1	1	1	1	1	1	cluster	3	VC_1_6	3	0.0115	0.9920	0.0114	0.6667
Klebsiella_phage_vB_KpnM_KpV477	NC_031087	Bacteria	1852625	Viruses	Caudovirales	Myoviridae			Klebsiella phage vB_KpnM_KpV477						1	2	1	1	1	1	1	1	cluster	3	VC_1_6	3	0.0115	0.9920	0.0114	0.6667
Morganella_phage_vB_MmoM_MP1	NC_031020	Bacteria	1852628	Viruses	Caudovirales	Myoviridae			Morganella phage vB_MmoM_MP1						1	2	1	1	1	1	1	1	cluster	2	VC_1_20	2	0.0068	0.9576	0.0065	1.0000
Pectobacterium_bacteriophage_PM2	NC_028940	Bacteria	1429794	Viruses	Caudovirales	Myoviridae			Pectobacterium bacteriophage PM2						1	2	1	1	1	1	1	1	cluster	1	VC_1_8	1	0.0000	1.0000	0.0000	1.0000
Proteus_phage_vB_PmiM_Pm5461	NC_028762	Bacteria	1636250	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Proteus phage vB_PmiM_Pm5461						1	2	1	1	1	1	1	1	cluster	2	VC_1_20	2	0.0068	0.9576	0.0065	1.0000
Salmonella_phage_STML-198	NC_027344	Bacteria	1204531	Viruses	Caudovirales	Myoviridae	Tevenvirinae	S16virus	Salmonella virus STML198	Caudovirales	Myoviridae	Tevenvirinae	S16virus	Salmonella virus STML198	1	2	1	1	1	1	1	1	cluster	4	VC_1_3	4	0.0176	0.9997	0.0176	1.0000
Salmonella_phage_STP4-a	NC_026607	Bacteria	1445860	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Salmonella phage STP4-a						1	2	1	1	1	1	1	1	cluster	4	VC_1_3	4	0.0176	0.9997	0.0176	1.0000
Salmonella_phage_vB_SenMS16	NC_020416	Bacteria	1087482	Viruses	Caudovirales	Myoviridae	Tevenvirinae	S16virus	Salmonella virus S16	Caudovirales	Myoviridae	Tevenvirinae	S16virus	Salmonella virus S16	1	2	1	1	1	1	1	1	cluster	4	VC_1_3	4	0.0176	0.9997	0.0176	1.0000
Salmonella_phage_vB_SnwM_CGG4-1	NC_031065	Bacteria	1815631	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Salmonella phage vB_SnwM_CGG4-1						1	2	1	1	1	1	1	1	cluster	4	VC_1_3	4	0.0176	0.9997	0.0176	1.0000
Serratia_phage_PS2	NC_024121	Bacteria	1481112	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Serratia phage PS2						1	2	1	1	1	1	1	1	cluster	1	VC_1_1	1	0.0000	1.0000	0.0000	1.0000
Shigella_phage_pSs-1	NC_025829	Bacteria	1551641	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella virus Pss1	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella virus Pss1	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Shigella_phage_SHBML-50-1	NC_031085	Bacteria	1863007	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella phage SHBML-50-1						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Shigella_phage_Shf125875	NC_025437	Bacteria	1541825	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Shigella virus UTAM	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Shigella virus UTAM	1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Shigella_phage_Shfl2	NC_015457	Bacteria	1002725	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella virus Shfl2	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella virus Shfl2	1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Shigella_phage_SHFML-11	NC_030953	Bacteria	1863008	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella phage SHFML-11						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Shigella_phage_SHFML-26	NC_031011	Bacteria	1863009	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella phage SHFML-26						1	2	1	1	1	1	1	1	cluster	27	VC_1_13	27	0.1741	1.0000	0.1741	1.0000
Shigella_phage_SHSML-52-1	NC_031090	Bacteria	1863011	Viruses	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella phage SHSML-52-1						1	2	1	1	1	1	1	1	cluster	7	VC_1_12	7	0.0355	1.0000	0.0355	1.0000
Shigella_phage_SP18	NC_014595	Bacteria	645664	Viruses	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Shigella virus SP18	Caudovirales	Myoviridae	Tevenvirinae	Sp18virus	Shigella virus SP18	1	2	1	1	1	1	1	1	cluster	5	VC_1_10	5	0.0237	1.0000	0.0237	1.0000
Stenotrophomonas_phage_IME13	NC_029000	Bacteria	1211280	Viruses	Caudovirales	Myoviridae		Secunda5virus	Stenotrophomonas virus IME13	Caudovirales	Myoviridae		Secunda5virus	Stenotrophomonas virus IME13	1	2	1	1	1	1	1	1	cluster	5	VC_1_16	5	0.0345	1.0000	0.0345	0.9000
